Timestamp,1. Which Telecom operator is your PRIMARY connection?,2. How would you rate the network coverage at your home/workplace?  ,3. How often do you experience call drops or poor voice quality? ,4. What do you primarily use your mobile data for?  ,5. Do you face significant lag or buffering while using the apps mentioned above?  ,6. Are you satisfied with your current mobile internet speed (4G/5G)?,7. How long have you been using your current service provider?  ,8. Have you contacted customer care in the last 6 months?  ,"9. If Yes, was your issue resolved on the first call? (First Call Resolution) ",10. How would you rate the helpfulness of the support agent? ,11. How do you feel about your monthly mobile expenses? ,12. Is there a specific offer/feature from your provider that you absolutely love?  ,"13. Have you recently seen a better offer from a competitor (e.g., Airtel, Jio, Vi)? ","14. On a scale of 0-10, how likely are you to recommend your service to a friend or colleague?",15. Are you planning to switch your service provider?,16. What is the main factor that would make you switch to another operator? ,Your data will not be shared with anyone & will be used for the Academic Research only . 
12/17/2025 10:55:15,BSNL,Good,Occasionally,"Social Media (Instagram, Facebook, etc.), Gaming (BGMI, COD, etc.)",Occasionally buffers,"Yes, it's very fast",More than 3 years,No,Yes,3,Fair / Reasonable,"Unlimited 5G Data, Free OTT Subscriptions (Netflix/Prime/Disney+), Cheaper Long-term Plans",No,6,"No, I am happy.",Lower Price / Cheaper Plans,I understand
12/17/2025 12:08:49,Vi (Vodafone Idea),Average,Occasionally,"Social Media (Instagram, Facebook, etc.)",Occasionally buffers,It's manageable,More than 3 years,Yes,"No, it is still unresolved",3,Expensive,"Data Rollover (Unused data carries forward), Night Free Data (12 AM - 6 AM)",No,5,Never taught about it,Better Network Quality,I understand
12/17/2025 13:45:39,Airtel,Excellent,Rarely,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Gaming (BGMI, COD, etc.), General Browsing","No, it runs smoothly",It's manageable,6 months - 1 year,No,"No, I had to call multiple times",1,Expensive,Free OTT Subscriptions (Netflix/Prime/Disney+),Yes,5,"Maybe, I am thinking about it.",Lower Price / Cheaper Plans,I understand
12/17/2025 14:17:30,Vi (Vodafone Idea),Good,Rarely,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Work / Office Calls (Zoom, Teams, Emails), Gaming (BGMI, COD, etc.)","No, it runs smoothly","Yes, it's very fast",1 - 3 years,No,,3,Fair / Reasonable,Cheaper Long-term Plans,Yes,6,"Maybe, I am thinking about it.",Better Network Quality,I understand
12/17/2025 14:18:43,Jio,Good,Rarely,"Social Media (Instagram, Facebook, etc.)","No, it runs smoothly",It's manageable,1 - 3 years,No,,,Fair / Reasonable,Free OTT Subscriptions (Netflix/Prime/Disney+),Yes,7,"No, I am happy.",More Data Benefits,I understand
12/17/2025 14:20:03,Vi (Vodafone Idea),Good,Rarely,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Work / Office Calls (Zoom, Teams, Emails), Gaming (BGMI, COD, etc.), General Browsing","No, it runs smoothly",It's manageable,6 months - 1 year,No,,3,Expensive,Cheaper Long-term Plans,Yes,5,"Maybe, I am thinking about it.",Better Network Quality,I understand
12/17/2025 14:21:08,Airtel,Excellent,Never,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Work / Office Calls (Zoom, Teams, Emails), Gaming (BGMI, COD, etc.), General Browsing","No, it runs smoothly","Yes, it's very fast",More than 3 years,No,,5,Fair / Reasonable,"Unlimited 5G Data, Free OTT Subscriptions (Netflix/Prime/Disney+), Data Rollover (Unused data carries forward), Night Free Data (12 AM - 6 AM), Cheaper Long-term Plans, None",No,10,"No, I am happy.","Nothing, I am happy.",I understand
12/17/2025 14:22:08,Jio,Excellent,Never,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Work / Office Calls (Zoom, Teams, Emails), Gaming (BGMI, COD, etc.), General Browsing","No, it runs smoothly","Yes, it's very fast",More than 3 years,No,,5,Very expensive,"Unlimited 5G Data, Free OTT Subscriptions (Netflix/Prime/Disney+), Data Rollover (Unused data carries forward), Night Free Data (12 AM - 6 AM), Cheaper Long-term Plans",Yes,10,"No, I am happy.","Nothing, I am happy.",I understand
12/17/2025 14:22:25,Airtel,Good,Occasionally,"Social Media (Instagram, Facebook, etc.), General Browsing",Occasionally buffers,It's manageable,1 - 3 years,No,,,Expensive,None,Yes,5,Never taught about it,More Data Benefits,I understand
12/17/2025 14:22:31,Vi (Vodafone Idea),Good,Rarely,"Social Media (Instagram, Facebook, etc.), OTT / Streaming (Netflix, YouTube, Hotstar), Work / Office Calls (Zoom, Teams, Emails), Gaming (BGMI, COD, etc.), General Browsing","No, it runs smoothly","Yes, it's very fast",1 - 3 years,Yes,Yes,4,Expensive,"Unlimited 5G Data, Data Rollover (Unused data carries forward), Night Free Data (12 AM - 6 AM), Cheaper Long-term Plans",Yes,9,"No, I am happy.",Better Network Quality,I understand
